journal_entry,sentiment_score
"I feel tense and irritable from nonstop deadline pressure.",-0.76
"I am drained by constant firefighting and zero strategic time.",-0.87
"I feel disconnected from the mission and it makes everything heavier.",-0.79
"I am worn down by late night messages that never seem to stop.",-0.9
"I feel defeated watching my to do list grow faster than I can clear it.",-0.82
"I am exhausted from explaining the same technical constraints repeatedly.",-0.74
"I feel stuck in survival mode just trying to get through each day.",-0.93
"My creativity feels completely dried up after this brutal sprint.",-0.85
"I feel slightly overwhelmed but still capable of finishing my tasks.",-0.28
"I am a bit tired after today's planning session yet still steady.",-0.18
"I feel mildly uneasy about the upcoming roadmap review.",-0.22
"My energy is low this afternoon though I am managing.",-0.15
"I feel indifferent about today's routine standup.",0.02
"I am simply moving through my checklist without strong emotions.",0.08
"I feel fine handling routine bug fixes at a normal pace.",0.18
"My workload felt reasonable and I stayed organized.",0.32
"I feel good about the incremental progress on my feature branch.",0.38
"I am pleased with how smoothly our sprint planning went.",0.44
"I feel confident presenting my design proposal to the team.",0.52
"My focus improved and I completed deep work without interruptions.",0.58
"I feel encouraged after aligning priorities with my product manager.",0.63
"I am upbeat because today's deployment went flawlessly.",0.73
"I feel satisfied seeing users respond positively to our update.",0.81
"My stress melted away after wrapping up a complex migration.",0.87
"I feel invigorated tackling ambitious technical goals.",0.9
"I am thriving while learning a new framework at work.",0.93
"I feel joyful collaborating closely with supportive teammates.",0.96
"My work life feels harmonious and sustainable right now.",0.99
"I feel rattled after surprise scope changes late in the day.",-0.57
"My patience wore thin during a three hour status meeting.",-0.62
"I feel strained balancing on call duties with feature development.",-0.69
"I am unsettled by unclear expectations from leadership.",-0.53
"I feel pressured trying to prove my value in every meeting.",-0.66
"My stamina is fading even though the week is not over.",-0.71
"I feel frustrated watching technical debt pile higher.",-0.64
"I am uneasy about the stability of our current build.",-0.34
"My mood dipped after reading critical comments on my pull request.",-0.59
"I feel cautiously positive after mapping out next sprint tasks.",0.27
"I am recharged after taking a proper lunch break away from my desk.",0.69
"My confidence grew after resolving a customer escalation.",0.76
"I feel light and optimistic heading into tomorrow's demo.",0.84
"I am proud of maintaining boundaries and logging off on time.",0.88
"My mindset feels strong and resilient despite a busy quarter.",0.92
"I feel like I am drowning in technical debt and cannot see a way out.",-0.96
"My brain feels fried after debugging a production outage for hours.",-0.88
"I am resentful that I am always the one staying late to fix things.",-0.9
"I feel hollow sitting through another meeting that should have been an email.",-0.73
"My energy is completely shot after being on call all weekend.",-0.92
"I feel crushed by unrealistic sprint commitments.",-0.89
"I am mentally spiraling trying to keep up with constant requirement changes.",-0.86
"I feel discouraged because my suggestions keep getting ignored.",-0.78
"My body feels heavy and tired before the workday even starts.",-0.84
"I feel suffocated by micromanagement on every small task.",-0.87
"I am frustrated that no matter how much I work it is never enough.",-0.91
"I feel brittle and close to snapping under this workload.",-0.93
"My concentration shattered after juggling five urgent requests at once.",-0.77
"I feel drained from pretending to be positive in team calls.",-0.81
"I am completely overwhelmed trying to learn new tools with zero guidance.",-0.85
"I feel slightly tense about tomorrow's client demo but still prepared.",-0.27
"My motivation dipped this afternoon though I pushed through.",-0.21
"I feel a touch uneasy about my growing task list.",-0.19
"My mood is flat after a long but uneventful day.",-0.05
"I feel steady working through documentation updates.",0.1
"My pace was consistent and manageable today.",0.22
"I feel decent after organizing my project board.",0.28
"My afternoon coding session felt smooth and focused.",0.36
"I feel encouraged seeing small wins add up.",0.48
"My stress feels under control after clarifying priorities.",0.53
"I feel optimistic about hitting our milestone this week.",0.67
"My collaboration during pair programming felt energizing.",0.74
"I feel proud for advocating realistic timelines in planning.",0.79
"My confidence soared after successfully leading the demo.",0.86
"I feel deeply satisfied closing out a complicated epic.",0.91
"My work feels meaningful and aligned with my goals.",0.97
"I feel secure knowing my manager trusts my decisions.",0.83
"My mind feels clear after finishing a thorough code cleanup.",0.72
"I feel invigorated contributing ideas in the strategy session.",0.89
"My workload feels sustainable and well balanced right now.",0.94
"I feel irritated when last minute changes derail my focus.",-0.6
"My patience ran thin during repeated build failures.",-0.68
"I feel pressured balancing performance reviews and project deadlines.",-0.7
"My enthusiasm faded after hearing about budget cuts.",-0.74
"I feel worn down by constant cross team miscommunication.",-0.82
"My nerves are frayed after handling a tense stakeholder call.",-0.76
"I feel stretched too thin covering for absent teammates.",-0.88
"My sleep suffered because I kept thinking about unresolved bugs.",-0.83
"I feel uneasy watching our backlog expand unchecked.",-0.58
"My morale dropped after another weekend spent working.",-0.9
"I feel hopeful after restructuring my schedule for better focus.",0.31
"My spirits lifted once I automated a tedious workflow.",0.66
"I feel accomplished completing a challenging security patch.",0.82
"My energy rebounded after a supportive one on one conversation.",0.77
"I feel genuinely content with how I handled today's pressure.",0.9
"I feel completely spent after covering two roles during this chaotic release cycle.",-0.94
"My thoughts are scattered from nonstop interruptions and I cannot regain focus.",-0.83
"I am discouraged watching leadership ignore obvious burnout signs.",-0.88
"I feel crushed under the weight of overlapping project deadlines.",-0.9
"My enthusiasm has evaporated after months of crunch time.",-0.92
"I feel mentally numb while pushing through another stack of urgent tickets.",-0.86
"I am exhausted from defending realistic timelines that no one wants to hear.",-0.89
"I feel trapped in a cycle of patches instead of meaningful improvements.",-0.84
"My stress spikes every time a production alert goes off.",-0.8
"I feel defeated trying to maintain quality with impossible expectations.",-0.93
"I am running on caffeine and anxiety just to stay afloat.",-0.91
"I feel worn out from constant performance scrutiny.",-0.78
"My creativity feels stifled by rigid processes and approvals.",-0.74
"I feel overwhelmed coordinating across too many stakeholders.",-0.87
"My patience is gone after weeks without a real break.",-0.95
"I feel mildly pressured about wrapping up this sprint but still capable.",-0.24
"My energy is slightly low after today's long retrospective.",-0.17
"I feel a bit unsettled about shifting product priorities.",-0.29
"My mood stayed neutral while grinding through routine QA checks.",0.03
"I feel steady reviewing pull requests at a comfortable pace.",0.14
"My workload felt predictable and manageable today.",0.26
"I feel fairly good about the incremental improvements I made.",0.34
"My concentration held strong during my deep work block.",0.47
"I feel satisfied clearing several lingering bugs.",0.52
"My stress eased once we finalized the roadmap.",0.6
"I feel encouraged by the trust my team shows in me.",0.68
"My confidence grew after solving a tricky performance issue.",0.76
"I feel proud for setting healthy boundaries around my time.",0.82
"My day felt productive without being overwhelming.",0.71
"I feel optimistic about our upcoming feature launch.",0.85
"My motivation surged while experimenting with a new tech stack.",0.9
"I feel deeply aligned with my team's mission right now.",0.96
"My workflow feels smooth and sustainable this week.",0.88
"I feel grateful for constructive feedback that helped me improve.",0.79
"My energy feels balanced and consistent throughout the day.",0.73
"I feel irritated when vague requirements force constant rework.",-0.63
"My morale dipped after hearing about another tight turnaround request.",-0.69
"I feel strained balancing mentoring duties with heavy coding tasks.",-0.72
"My stress lingered after a tense budget discussion.",-0.66
"I feel uneasy about the stability of our infrastructure.",-0.58
"My focus shattered after back to back escalation calls.",-0.81
"I feel drained trying to keep everyone aligned across teams.",-0.85
"My sleep quality dropped because I kept replaying work conversations.",-0.77
"I feel anxious about upcoming organizational changes.",-0.7
"My motivation slipped after missing an ambitious milestone.",-0.75
"I feel cautiously hopeful after reorganizing my workload.",0.29
"My spirits lifted once a teammate offered unexpected help.",0.64
"I feel accomplished finishing documentation that was long overdue.",0.7
"My outlook brightened after a transparent conversation with leadership.",0.83
"I feel utterly exhausted after troubleshooting integration failures all night.",-0.93
"My motivation is fading fast as the workload keeps stacking up.",-0.87
"I feel cornered by tight deadlines that leave no room to breathe.",-0.9
"My brain feels overloaded from absorbing constant new requirements.",-0.82
"I am disheartened seeing my overtime become the norm.",-0.89
"I feel strained trying to keep legacy systems alive with limited resources.",-0.86
"My energy tanked after another round of unexpected revisions.",-0.78
"I feel powerless when decisions are made without engineering input.",-0.84
"My stress feels relentless with no sign of slowing down.",-0.92
"I am drained from absorbing team tension during heated discussions.",-0.88
"I feel emotionally fatigued from managing client escalations.",-0.85
"My concentration slips because I am simply too tired.",-0.8
"I feel discouraged watching technical debt grow unchecked.",-0.83
"My enthusiasm dips every time a sprint goal gets extended.",-0.76
"I feel burnt out trying to maintain perfection under pressure.",-0.95
"I feel slightly pressured but still in control of my assignments.",-0.23
"My mood is a bit low after today's lengthy audit meeting.",-0.18
"I feel mildly frustrated sorting through ambiguous specs.",-0.21
"My energy stayed neutral while completing documentation tasks.",0.04
"I feel steady navigating routine standups and check ins.",0.12
"My workload felt balanced without major stressors.",0.24
"I feel reasonably satisfied with the pace of progress.",0.33
"My focus remained intact through my coding session.",0.46
"I feel content after organizing my sprint backlog.",0.51
"My stress dropped once blockers were resolved.",0.59
"I feel encouraged by the transparency in today's update call.",0.66
"My confidence strengthened after optimizing a slow query.",0.74
"I feel proud for improving our deployment pipeline.",0.81
"My day flowed smoothly with minimal friction.",0.69
"I feel optimistic seeing clear milestones ahead.",0.88
"My excitement grew experimenting with a creative solution.",0.91
"I feel fully engaged and energized by my current project.",0.97
"My workload feels challenging yet sustainable.",0.86
"I feel thankful for teammates who step up when needed.",0.79
"My energy feels stable and positive this week.",0.72
"I feel irritated when shifting goals erase yesterday's effort.",-0.61
"My morale slipped after reading critical stakeholder feedback.",-0.68
"I feel stretched managing both technical and administrative work.",-0.73
"My stress increased during an intense architecture debate.",-0.65
"I feel uneasy about the lack of long term planning.",-0.57
"My focus collapsed after constant notification pings.",-0.79
"I feel worn down coordinating cross functional dependencies.",-0.84
"My sleep was restless because I worried about outages.",-0.77
"I feel anxious ahead of tomorrow's executive review.",-0.7
"My drive weakened after another scope expansion.",-0.75
"I feel cautiously confident after refining our roadmap.",0.31
"My mood improved once I automated a manual reporting task.",0.63
"I feel accomplished closing several high priority tickets.",0.78
"My outlook brightened after celebrating a small team win.",0.85
